Company,Type,Inches,RAM,Processor Name,Osys,MEMORY,TouchScreen,Graphic Card,KGs,X_RES,Y_RES,Price
ASUS,Laptop,16 Inch,16 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,No,1.88,1920,1200,59990
Acer,Thin and Light Laptop,14 Inch,8 GB,AMD Ryzen 3 Dual Core 13th Gen,Windows 11 ,256 GB SSD,No,No,1.6,,,25990
HP,Thin and Light Laptop,14 inch,16 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,No,1.41,1920,1080,57990
Lenovo,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,No,1.7,1920,1080,49990
Lenovo,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i3 11th Gen,Windows 11 ,512 GB SSD,No,No,1.7,1920,1080,36990
HP,Notebook,14 inch,8 GB,AMD Athlon Dual Core,Windows 11 ,1 TB HDD,No,No,,1366,768,23490
HP,Thin and Light Laptop,15.6 Inch,8 GB,AMD Ryzen 3 Dual Core,Windows 11 ,512 GB SSD,No,No,1.69,1920,1080,34990
ASUS,Thin and Light Laptop,15.6 inch,8 GB,Intel Core i3 11th Gen,Windows 11 ,512 GB SSD,No,No,1.8,1920,1080,43990
APPLE,Thin and Light Laptop,13.3 inch,8 GB,Apple M1,Mac OS Big Sur,256 GB SSD,No,No,1.29,2560,1600,81990
ASUS,Thin and Light Laptop,15.6 Inch,16 GB,Intel Core i9 13th Gen,Windows 11 ,1 TB SSD,No,No,1.7,2880,1620,109990
ASUS,Thin and Light Laptop,14 Inch,16 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,No,1.4,2880,1800,69990
realme,Thin and Light Laptop,14 Inch,8 GB,Intel Core i5 11th Gen,Windows 11 ,512 GB SSD,No,No,1.47,2160,1440,44999
HP,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i3 12th Gen,Windows 11 ,1 TB SSD,No,No,1.69,1920,1080,44090
HP,Gaming Laptop,15.6 Inch,16 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,Yes,2.37,1920,1080,65990
HP,Thin and Light Laptop,15.6 Inch,16 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,No,1.69,1920,1080,48769
ASUS,Thin and Light Laptop,15.6 Inch,16 GB,Intel Core i5 13th Gen,Windows 11 ,512 GB SSD,No,No,1.7,1920,1080,85990
Avita,Laptop,14.1 Inch,4 GB,Intel Celeron Dual Core,Windows 11 ,128 GB SSD,No,No,,1920,1080,16490
Infinix,Thin and Light Laptop,14 Inch,8 GB,Intel Core i3 12th Gen,Windows 11 ,512 GB SSD,No,No,1.24,1920,1080,34990
HP,Thin and Light Laptop,15.6 inch,8 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,No,1.69,1920,1080,48900
HP,Gaming Laptop,15.6 Inch,8 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,Yes,2.37,1920,1080,54990
ASUS,Thin and Light Laptop,14 Inch,16 GB,Intel Core i5 13th Gen,Windows 11 ,512 GB SSD,No,No,1.4,1920,1080,63990
realme,Thin and Light Laptop,14 inch,16 GB,Intel Core i5 11th Gen,Windows 11 ,512 GB SSD,No,No,1.37,,,53999
ASUS,Thin and Light Laptop,14 Inch,8 GB,AMD Ryzen 3 Quad Core,Windows 11 ,512 GB SSD,No,No,1.38,1920,1080,36990
ASUS,Thin and Light Laptop,15.6 Inch,16 GB,Intel Core i3 11th Gen,Windows 11 ,512 GB SSD,No,No,1.8,1920,1080,42990
ASUS,Laptop,16 Inch,8 GB,Intel Core i3 13th Gen,Windows 11 ,512 GB SSD,No,No,1.88,1920,1200,47990
